PDB	chains1	chains2	dG	PRODIGY	SKEMPI
1A22	A	B	-11.6409	0	1
1A22	A	B	-11.6409	0	1
1A22	A	B	-11.6409	0	1
1A22	A	B	-11.7056	0	1
1A22	A	B	-11.7056	0	1
1A22	A	B	-11.7056	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.2714	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.3338	0	1
1A22	A	B	-12.7575	0	1
1A22	A	B	-12.7575	0	1
1A22	A	B	-12.7575	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
1A22	A	B	-12.8139	0	1
